filename,categories,code,description,discount,feat,free,icon,link,price,thumbnailAlt,thumbnailImage,title,updateDate
clonify,"design, ui, components, templates, freemium, paid",CLP20,"A library of pre-designed sections, wireframes, and templates for your Framer projects.",20% OFF,True,False,./favicons/clonify.png,/clonify,Paid,Screenshot of the Clonify plugin for Framer,./images/clonify-thumb.webp,Clonify,2025-05-06
doodles,"images, doodles, illustrations, art, visuals, free",N/A,Draw freehand illustrations directly within your Framer projects.,N/A,False,True,./favicons/doodles.png,https://www.framer.com/marketplace/plugins/doodles--ahhhxqo51mvyuwejaexvg1td4/?via=julesvcode,Free,Screenshot of the Doodles plugin for Framer,./images/doodles-thumb.webp,Doodles,2024-10-14
alt-text-generator,"utilities, images, seo, accessibility, paid",N/A,Automate the process of adding alt text to images on your Framer websites.,N/A,False,False,./favicons/alttextgenerator.png,https://www.framer.com/marketplace/plugins/alt-text-generator--1o6ogd0o00nc85u3uoviuxejy/?via=julesvcode,Paid,Screenshot of the Alt Text Generator plugin for Framer,./images/alttextgenerator-thumb.webp,Alt Text Generator,2024-11-28
lottie,"animations, lottie, free",N/A,"Get access to 500,000+ free and premium customizable Lottie animations for your websites.",N/A,False,True,./favicons/lottie.png,https://www.framer.com/marketplace/plugins/lottiefiles--34tc2ja4nxe8bk8603k766y7q/?via=julesvcode,Free,Screenshot of the LottieFiles plugins for Framer,./images/lottie-thumb.webp,LottieFiles,2024-10-04
frameshare,"socials, icons, utilities, paid",IWMZC4NW,Add social sharing to your Framer websites.,27% OFF,True,False,./favicons/frameshare.png,https://www.framer.com/marketplace/plugins/frameshare?via=julesvcode,Paid,Screenshot of the FrameShare plugin for Framer,./images/frameshare-thumb.jpg,FrameShare,2025-02-04
hubspot,"forms, calendar, chat, free",N/A,Integrate HubSpot’s powerful tools seamlessly into your Framer projects.,N/A,False,False,./favicons/hubspot.png,https://www.framer.com/marketplace/plugins/hubspot--7ihrkelk9u6rtcrt0rbd0e78n/?via=julesvcode,Free,Screenshot of the HubSpot plugins for Framer,./images/hubspot-thumb.webp,HubSpot,2024-10-04
ascii,"images, ASCII, typography, text, effects, art, free",N/A,Transform images and text into ASCII art for your web designs.,N/A,False,True,./favicons/ascii.png,https://framer.link/1Asr1gG,Free,Screenshot of the ASCII plugin for Framer,./images/ascii-thumb.webp,ASCII,2024-10-08
remixicon,"icons, free",N/A,Access the Remix Icon library from the Framer canva.,N/A,False,True,./favicons/remixicon.png,https://www.framer.com/marketplace/plugins/remixicon?via=julesvcode,Free,Screenshot of the Remixicon plugin for Framer,./images/remixicon-thumb.webp,Remixicon,2025-01-14
workshop,"components, ai, code, free",N/A,An AI-powered assistant that generates custom Framer Components based on prompts.,N/A,False,True,./favicons/workshop.png,https://www.framer.com/marketplace/plugins/workshop/?via=julesvcode,Free,Screenshot of the Workshop plugin for Framer,./images/workshop-thumb.webp,Workshop,2025-05-27
semflow,"seo, ai, paid",N/A,Optimise your Framer websites for search engines.,N/A,False,False,./favicons/semflow.png,https://www.framer.com/marketplace/plugins/semflow--dklqqqe5eq48su2nyybdr5sup/?via=julesvcode,Paid,Screenshot of the Semflow plugin for Framer,./images/semflow-thumb.webp,Semflow,2024-10-12
airtable,"cms, sync, database, free",N/A,Effortlessly sync your Airtable bases with the Framer CMS.,N/A,False,True,./favicons/airtable.png,https://www.framer.com/marketplace/plugins/airtable?via=julesvcode,Free,Screenshot of the Airtable plugin for Framer,./images/airtable-thumb.webp,Airtable,2024-12-05
renamer,"utilities, productivity, free",N/A,Quickly rename layers to tidy up your Framer project and easily find any layers.,N/A,False,True,./favicons/renamer.png,https://www.framer.com/marketplace/plugins/renamer--6ixseqccv3brndwg1sjoblxqu/?via=julesvcode,Free,Screenshot of the Renamer plugins for Framer,./images/renamer-thumb.webp,Renamer,2024-10-05
framergenie,"database, ecommerce, storage, apps, paid",N/A,Unleash the power of Supabase within Framer.,N/A,False,False,./favicons/framergenie.png,https://framer.link/saprV9I,Paid,Screenshot of the Framergenie plugin for Framer,./images/framergenie-thumb.jpg,Framergenie,2025-03-26
outseta,"membership, stripe, authentication, monetisation, saas, crm, paid",N/A,Transform your Framer website into a membership site.,N/A,False,False,./favicons/outseta.png,https://www.framer.com/marketplace/plugins/outseta--1ch30ok1fl51lk7of2x58csbp/?via=julesvcode,Paid,Screenshot of the Outseta plugin for Framer,./images/outseta-thumb.webp,Outseta,2024-10-11
confetti,"animations, design, free",N/A,Brings life to your Framer designs with confetti.,N/A,False,True,./favicons/confetti.png,https://www.framer.com/marketplace/plugins/confetti--8xmok2vqhk57xm5h4dcph7f7w/?via=julesvcode,Free,Screenshot of the Confetti plugin for Framer,./images/confetti-thumb.webp,Confetti,2024-11-22
